date,buying_rate,selling_rate,middle_rate,currency_code
2021-04-30,3.0834,3.0892,3.0863,SGD
2021-04-30,13.1376,13.1621,13.1499,THB
2021-04-30,8.4853,8.4992,8.4922,PHP
2021-04-30,5.6949,5.7023,5.6986,GBP
2021-04-30,4.095,4.1,4.0975,USD
2021-04-30,3.181,3.1857,3.1833,AUD
2021-04-30,0.0283,0.0284,0.0284,IDR
