date,buying_rate,selling_rate,middle_rate,currency_code
2021-11-30,3.0768,3.0804,3.0786,SGD
2021-11-30,12.4711,12.4941,12.4826,THB
2021-11-30,8.3528,8.3641,8.3585,PHP
2021-11-30,5.6182,5.6265,5.6223,GBP
2021-11-30,4.209,4.213,4.211,USD
2021-11-30,2.9947,2.9997,2.9972,AUD
2021-11-30,0.0294,0.0294,0.0294,IDR
