date,buying_rate,selling_rate,middle_rate,currency_code
2021-03-31,3.082,3.087,3.0845,SGD
2021-03-31,13.2354,13.2566,13.246,THB
2021-03-31,8.5285,8.5403,8.5344,PHP
2021-03-31,5.7104,5.7176,5.714,GBP
2021-03-31,4.144,4.148,4.146,USD
2021-03-31,3.1573,3.1612,3.1593,AUD
2021-03-31,0.0285,0.0286,0.0285,IDR
