date,buying_rate,selling_rate,middle_rate,currency_code
2021-02-26,3.0493,3.0549,3.0521,SGD
2021-02-26,13.4229,13.4484,13.4356,THB
2021-02-26,8.3237,8.3374,8.3306,PHP
2021-02-26,5.6435,5.6509,5.6472,GBP
2021-02-26,4.047,4.052,4.0495,USD
2021-02-26,3.1716,3.176,3.1738,AUD
2021-02-26,0.0283,0.0285,0.0284,IDR
